name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"mu80","MU80","1994",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ymmu80.cpp",PRELIMINARE,SVG,"0",1280,386,HORIZONTAL,"ymmu80.cpp"
"orbit9090","Orbit 9090 - The Dance Planet","1996","E-mu Systems",-,-,-,YES,NO,NO,NO,NO,"emu68k.cpp",PRELIMINARE,LCD,"0",96,16,HORIZONTAL,"emu68k.cpp"
phatt,"Planet Phatt - The Swing System","1997","E-mu Systems",-,-,-,YES,NO,NO,NO,NO,"emu68k.cpp",PRELIMINARE,LCD,"0",96,16,HORIZONTAL,"emu68k.cpp"
"poly61","Poly-61 Programmable Polyphonic Synthesizer","1982",Korg,-,-,-,YES,NO,NO,NO,NO,polysix.cpp,PRELIMINARE,-,"0",0,0,-,polysix.cpp
"poly800","Poly-800 Programmable Polyphonic Synthesizer","1984",Korg,-,-,-,YES,NO,NO,NO,NO,"poly800.cpp",PRELIMINARE,-,"0",0,0,-,"poly800.cpp"
"poly800mdk","Poly-800 Programmable Polyphonic Synthesizer (MIDI Dump Kit)","1984",Korg,-,-,-,YES,NO,NO,NO,NO,"poly800.cpp",PRELIMINARE,-,"0",0,0,-,"poly800.cpp"
"poly800ii","Poly-800II Programmable Polyphonic Synthesizer","1986",Korg,-,-,-,YES,NO,NO,NO,NO,"poly800.cpp",PRELIMINARE,-,"0",0,0,-,"poly800.cpp"
polysix,"Polysix Programmable Polyphonic Synthesizer","1980",Korg,-,-,-,YES,NO,NO,NO,NO,polysix.cpp,PRELIMINARE,-,"0",0,0,-,polysix.cpp
powernin,"Power Ninja Action Challenge","2009","Linus Åkesson",-,-,-,YES,NO,NO,NO,NO,lft_chiptune.cpp,BUONO,-,"0",0,0,-,lft_chiptune.cpp
"pr100","PR-100 Digital Sequencer","1987",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_pr100.cpp",PRELIMINARE,-,"0",0,0,-,"roland_pr100.cpp"
procuss,"Pro/Cussion Maximum Percussion Module","1991","E-mu Systems",-,-,-,YES,NO,NO,NO,NO,"emu68k.cpp",PRELIMINARE,LCD,"0",96,16,HORIZONTAL,"emu68k.cpp"
"prpht600","Prophet-600","1983","Sequential Circuits",-,-,-,YES,NO,NO,NO,NO,"prophet600.cpp",PRELIMINARE,-,"0",0,0,-,"prophet600.cpp"
"proteus1","Proteus/1 16-Bit Multi-Timbral Digital Sound Module","1989","E-mu Systems",-,-,-,YES,NO,NO,NO,NO,"emu68k.cpp",PRELIMINARE,LCD,"0",96,16,HORIZONTAL,"emu68k.cpp"
proteusxr,"Proteus/1 XR 16-Bit Multi-Timbral Digital Sound Module","1989","E-mu Systems",-,-,-,YES,NO,NO,NO,NO,"emu68k.cpp",PRELIMINARE,LCD,"0",96,16,HORIZONTAL,"emu68k.cpp"
"psr16","PSR-16","1988",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ympsr16.cpp",PRELIMINARE,-,"0",0,0,-,"ympsr16.cpp"
"psr340","PSR-340 PortaSound","1994",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ympsr340.cpp",PRELIMINARE,SVG,"0",800,384,HORIZONTAL,"ympsr340.cpp"
"psr36","PSR-36","1988",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ympsr16.cpp",PRELIMINARE,-,"0",0,0,-,"ympsr16.cpp"
"psr40","PSR-40","1985",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ympsr40.cpp",PRELIMINARE,-,"0",0,0,-,"ympsr40.cpp"
"psr60","PSR-60 PortaSound","1985",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ympsr60.cpp",PRELIMINARE,-,"0",0,0,-,"ympsr60.cpp"
"psr70","PSR-70 PortaSound","1985",Yamaha,"psr60","psr60",-,YES,NO,NO,NO,NO,"ympsr60.cpp",PRELIMINARE,-,"0",0,0,-,"ympsr60.cpp"
"pss680","PSS-680","1988",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ympsr16.cpp",PRELIMINARE,-,"0",0,0,-,"ympsr16.cpp"
"r100","R-100 Digital Drum Machine","1987","Kawai Musical Instrument Manufacturing",-,-,-,YES,NO,NO,NO,NO,"kawai_r100.cpp",PRELIMINARE,-,"0",0,0,-,"kawai_r100.cpp"
"r8","R-8 Human Rhythm Composer (v2.02)","1989",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_r8.cpp",PRELIMINARE,-,"0",0,0,-,"roland_r8.cpp"
"r8mk2","R-8 Mk II Human Rhythm Composer (v1.0.3)","1992",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_r8.cpp",PRELIMINARE,-,"0",0,0,-,"roland_r8.cpp"
"r8m","R-8M Total Percussion Sound Module (v1.04)","1990",Roland,"r8","r8",-,YES,NO,NO,NO,NO,"roland_r8.cpp",PRELIMINARE,-,"0",0,0,-,"roland_r8.cpp"
"ra30","RA-30 Realtime Arranger","1995",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_ra30.cpp",PRELIMINARE,-,"0",0,0,-,"roland_ra30.cpp"
"rz1","RZ-1","1986",Casio,-,-,-,YES,NO,NO,NO,NO,"rz1.cpp",INCOMPLETO,LCD,"0",97,10,HORIZONTAL,"rz1.cpp"
"s10","S-10 Digital Sampling Keyboard","1986",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_s10.cpp",PRELIMINARE,LCD,"0",96,8,HORIZONTAL,"roland_s10.cpp"
"s220","S-220 Digital Sampler","1987",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_s10.cpp",PRELIMINARE,LCD,"0",96,16,HORIZONTAL,"roland_s10.cpp"
"s50","S-50 Digital Sampling Keyboard","1987",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_s50.cpp",PRELIMINARE,RASTER,"0",336,252,HORIZONTAL,"roland_s50.cpp"
"s550","S-550 Digital Sampler","1987",Roland,"s50","s50",-,YES,NO,NO,NO,NO,"roland_s50.cpp",PRELIMINARE,RASTER,"0",336,252,HORIZONTAL,"roland_s50.cpp"
"sd1","SD-1 (21 voice)","1990",Ensoniq,-,-,-,YES,NO,NO,NO,NO,"esq5505.cpp",PRELIMINARE,-,"0",0,0,-,"esq5505.cpp"
"sd132","SD-1 (32 voice)","1991",Ensoniq,"sd1","sd1",-,YES,NO,NO,NO,NO,"esq5505.cpp",PRELIMINARE,-,"0",0,0,-,"esq5505.cpp"
"sk1","SK-1","1985",Casio,-,-,-,YES,NO,NO,NO,NO,"sk1.cpp",PRELIMINARE,-,"0",0,0,-,"sk1.cpp"
"sk10","SK-10","1987",Casio,-,-,-,YES,NO,NO,NO,NO,"sk1.cpp",PRELIMINARE,-,"0",0,0,-,"sk1.cpp"
"sk2","SK-2","1988",Casio,-,-,-,YES,NO,NO,NO,NO,"sk1.cpp",PRELIMINARE,-,"0",0,0,-,"sk1.cpp"
"sk5","SK-5","1987",Casio,-,-,-,YES,NO,NO,NO,NO,"sk1.cpp",PRELIMINARE,-,"0",0,0,-,"sk1.cpp"
"sc55","Sound Canvas SC-55","1991",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_sc55.cpp",PRELIMINARE,-,"0",0,0,-,"roland_sc55.cpp"
"sc88vl","SoundCanvas SC-88VL","1995",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_sc88.cpp",PRELIMINARE,-,"0",0,0,-,"roland_sc88.cpp"
"sq1","SQ-1","1990",Ensoniq,-,-,-,YES,NO,NO,NO,NO,"esq5505.cpp",PRELIMINARE,-,"0",0,0,-,"esq5505.cpp"
"sq2","SQ-2","1991",Ensoniq,-,-,-,YES,NO,NO,NO,NO,"esq5505.cpp",PRELIMINARE,-,"0",0,0,-,"esq5505.cpp"
"sq80","SQ-80 Cross Wave Synthesizer","1988",Ensoniq,-,-,-,YES,NO,NO,NO,NO,"esq1.cpp",PRELIMINARE,-,"0",0,0,-,"esq1.cpp"
sqrack,SQ-Rack,"1990",Ensoniq,"sq1","sq1",-,YES,NO,NO,NO,NO,"esq5505.cpp",PRELIMINARE,-,"0",0,0,-,"esq5505.cpp"
sbasssta,"Super Bass Station","1997",Novation,-,-,-,YES,NO,NO,NO,NO,basssta.cpp,PRELIMINARE,-,"0",0,0,-,basssta.cpp
slsstars,"SuperStars (CD jukebox)","199?","Sound Leisure",-,-,-,YES,NO,NO,YES,NO,slsstars.cpp,PRELIMINARE,-,"0",0,0,-,slsstars.cpp
"sx240","SX-240 8-Voice Programmable Polyphonic Synthesizer","1984","Kawai Musical Instrument Manufacturing",-,-,-,YES,NO,NO,NO,NO,"kawai_sx240.cpp",PRELIMINARE,-,"0",0,0,-,"kawai_sx240.cpp"
"sy35","SY35 Music Synthesizer","1992",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ymsy35.cpp",PRELIMINARE,-,"0",0,0,-,"ymsy35.cpp"
synthex,Synthex,"1981",Elka,-,-,-,YES,NO,NO,NO,NO,synthex.cpp,PRELIMINARE,-,"0",0,0,-,synthex.cpp
"tb303","TB-303 Bass Line","1982",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_tb303.cpp",PRELIMINARE,-,"0",0,0,-,"roland_tb303.cpp"
"tg100","TG100","1991",Yamaha,-,-,-,YES,NO,NO,NO,NO,"tg100.cpp",PRELIMINARE,-,"0",0,0,-,"tg100.cpp"
hwchiptn,"The Hardware Chiptune Project","2007","Linus Åkesson / kryo",-,-,-,YES,NO,NO,NO,NO,lft_chiptune.cpp,BUONO,-,"0",0,0,-,lft_chiptune.cpp
"tr505","TR-505 Rhythm Composer","1986",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_tr505.cpp",PRELIMINARE,-,"0",0,0,-,"roland_tr505.cpp"
"tr606","TR-606 Drumatix","1982",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_tr606.cpp",PRELIMINARE,-,"0",0,0,-,"roland_tr606.cpp"
"tr707","TR-707 Rhythm Composer","1985",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_tr707.cpp",PRELIMINARE,-,"0",0,0,-,"roland_tr707.cpp"
"tr727","TR-727 Rhythm Composer","1985",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_tr707.cpp",PRELIMINARE,-,"0",0,0,-,"roland_tr707.cpp"
"tr909","TR-909 Rhythm Composer","1984",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_tr909.cpp",PRELIMINARE,-,"0",0,0,-,"roland_tr909.cpp"
"ts10","TS-10","1993",Ensoniq,-,-,-,YES,NO,NO,NO,NO,esqkt.cpp,PRELIMINARE,-,"0",0,0,-,esqkt.cpp
"ts12","TS-12","1993",Ensoniq,-,-,-,YES,NO,NO,NO,NO,esqkt.cpp,PRELIMINARE,-,"0",0,0,-,esqkt.cpp
"tx81z","TX81Z FM Tone Generator","1987",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ymtx81z.cpp",PRELIMINARE,LCD,"0",97,21,HORIZONTAL,"ymtx81z.cpp"
"u20","U-20 RS-PCM Keyboard","1989",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_u20.cpp",PRELIMINARE,-,"0",0,0,-,"roland_u20.cpp"
"u220","U-220 RS-PCM Sound Module","1989",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_u20.cpp",PRELIMINARE,-,"0",0,0,-,"roland_u20.cpp"
vfx,VFX,"1989",Ensoniq,-,-,-,YES,NO,NO,NO,NO,"esq5505.cpp",PRELIMINARE,-,"0",0,0,-,"esq5505.cpp"
vfxsd,VFX-SD,"1989",Ensoniq,-,-,-,YES,NO,NO,NO,NO,"esq5505.cpp",PRELIMINARE,-,"0",0,0,-,"esq5505.cpp"
vgmplay,"VGM player","2016",MAME,-,-,-,YES,NO,NO,NO,NO,vgmplay.cpp,INCOMPLETO,RASTER,"0",256,768,HORIZONTAL,vgmplay.cpp
vintkeys,"Vintage Keys Classic Analog Keyboards","1993","E-mu Systems",-,-,-,YES,NO,NO,NO,NO,"emu68k.cpp",PRELIMINARE,LCD,"0",96,16,HORIZONTAL,"emu68k.cpp"
virusa,"Virus A","1997",Access,-,-,-,YES,NO,NO,NO,NO,acvirus.cpp,PRELIMINARE,-,"0",0,0,-,acvirus.cpp
virusb,"Virus B (Ver. T)","1999",Access,-,-,-,YES,NO,NO,NO,NO,acvirus.cpp,PRELIMINARE,-,"0",0,0,-,acvirus.cpp
virusc,"Virus C","2002",Access,-,-,-,YES,NO,NO,NO,NO,acvirus.cpp,PRELIMINARE,-,"0",0,0,-,acvirus.cpp
viruscl,"Virus Classic","2004",Access,-,-,-,YES,NO,NO,NO,NO,acvirus.cpp,PRELIMINARE,-,"0",0,0,-,acvirus.cpp
virusrck,"Virus Rack (Ver. T)","2001",Access,-,-,-,YES,NO,NO,NO,NO,acvirus.cpp,PRELIMINARE,-,"0",0,0,-,acvirus.cpp
virusrckxl,"Virus Rack XL","2002",Access,-,-,-,YES,NO,NO,NO,NO,acvirus.cpp,PRELIMINARE,-,"0",0,0,-,acvirus.cpp
"vl70","VL70-m","1996",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ymvl70.cpp",PRELIMINARE,SVG,"0",1280,386,HORIZONTAL,"ymvl70.cpp"
"vx600","VX600 Programmable Matrix Synthesizer","1988",Akai,-,-,-,YES,NO,NO,NO,NO,"akaivx600.cpp",PRELIMINARE,-,"0",0,0,-,"akaivx600.cpp"
"w30","W-30 Music Workstation","1988",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_s50.cpp",PRELIMINARE,LCD,"0",240,64,HORIZONTAL,"roland_s50.cpp"
korgwsad,"WaveStation A/D","1991",Korg,-,-,-,YES,NO,NO,NO,NO,korgws.cpp,PRELIMINARE,-,"0",0,0,-,korgws.cpp
korgwsex,"WaveStation EX","1992",Korg,-,-,-,YES,NO,NO,NO,NO,korgws.cpp,PRELIMINARE,-,"0",0,0,-,korgws.cpp
korgwssr,"WaveStation SR","1992",Korg,-,-,-,YES,NO,NO,NO,NO,korgws.cpp,PRELIMINARE,-,"0",0,0,-,korgws.cpp
"xbase09","XBase 09 Midi Controlled Analogue Drum Module","1997",JoMoX,-,-,-,YES,NO,NO,NO,NO,"xbase09.cpp",PRELIMINARE,-,"0",0,0,-,"xbase09.cpp"
"korgz3","Z3 Guitar Synthesizer","1988",Korg,-,-,-,YES,NO,NO,NO,NO,"korgz3.cpp",PRELIMINARE,-,"0",0,0,-,"korgz3.cpp"
